name,total_points,position_DEF,GW,team,opponent_team,position_FWD,position_GK,position_MID,game_avg_7,initval,was_home_False,was_home_True,pos_id,initval,rank,diff_from_avg,opp_defense_rank,opp_attack_rank,team_cluster_rank,opp_cluster_rank,was_home
Ruben Loftus-Cheek,0,0,8,8,19,0,0,1,1.2857142857142858,60.0,1,0,0,60.0,2.0,-1.2857142857142858,1,2,2,2,False
Bukayo Saka,0,0,8,1,2,0,0,1,4.0,55.0,0,1,0,55.0,3.0,-4.0,1,1,1,1,True
Ross Barkley,7,0,8,2,1,0,0,1,4.0,60.0,1,0,0,60.0,3.0,3.0,0,1,1,1,False
Oriol Romeu Vidal,2,0,8,16,14,0,0,1,1.2857142857142858,45.0,0,1,0,45.0,2.0,0.7142857142857142,2,1,1,1,True
Jonny Evans,5,1,8,10,20,0,0,0,4.0,55.0,0,1,1,55.0,3.0,1.0,2,0,0,0,True
Stuart Armstrong,10,0,8,16,14,0,0,1,3.0,55.0,0,1,0,55.0,3.0,7.0,2,1,1,1,True
Federico Fernández,0,1,8,14,16,0,0,0,1.2857142857142858,50.0,1,0,1,50.0,2.0,-1.2857142857142858,3,1,1,1,False
Ainsley Maitland-Niles,0,1,8,1,2,0,0,0,3.0,50.0,0,1,1,50.0,3.0,-3.0,1,1,1,1,True
Sam Johnstone,3,0,8,18,17,0,1,0,2.0,45.0,0,1,3,45.0,2.0,1.0,0,2,2,2,True
Jordan Pickford,1,0,8,7,13,0,1,0,3.857142857142857,50.0,0,1,3,50.0,3.0,-2.857142857142857,0,3,3,3,True
Çaglar Söyüncü,0,1,8,10,20,0,0,0,3.7142857142857144,55.0,0,1,1,55.0,3.0,-3.7142857142857144,2,0,0,0,True
Joel Ward,0,1,8,6,10,0,0,0,1.1428571428571428,45.0,0,1,1,45.0,2.0,-1.1428571428571428,2,2,2,2,True
Michael Keane,1,1,8,7,13,0,0,0,3.7142857142857144,50.0,0,1,1,50.0,3.0,-2.7142857142857144,0,3,3,3,True
André-Frank Zambo Anguissa,2,0,8,8,19,0,0,1,2.2857142857142856,45.0,1,0,0,45.0,3.0,-0.2857142857142856,1,2,2,2,False
Aleksandar Mitrović,1,0,8,8,19,1,0,0,0.8571428571428571,60.0,1,0,2,60.0,2.0,0.1428571428571429,1,2,2,2,False
David McGoldrick,6,0,8,15,5,1,0,0,3.4285714285714284,55.0,1,0,2,55.0,3.0,2.5714285714285716,0,2,2,2,False
Kyle Walker-Peters,9,1,8,16,14,0,0,0,3.142857142857143,45.0,0,1,1,45.0,3.0,5.857142857142858,2,1,1,1,True
Georginio Wijnaldum,2,0,8,11,12,0,0,1,2.142857142857143,55.0,1,0,0,55.0,2.0,-0.1428571428571428,0,3,3,3,False
Ayoze Pérez,0,0,8,10,20,0,0,1,1.2857142857142858,65.0,0,1,0,65.0,2.0,-1.2857142857142858,2,0,0,0,True
Andrew Robertson,2,1,8,11,12,0,0,0,3.142857142857143,70.0,1,0,1,70.0,3.0,-1.1428571428571428,0,3,3,3,False
Conor Townsend,2,1,8,18,17,0,0,0,0.7142857142857143,45.0,0,1,1,45.0,1.0,1.2857142857142856,0,2,2,2,True
James Ward-Prowse,3,0,8,16,14,0,0,1,3.5714285714285716,60.0,0,1,0,60.0,3.0,-0.5714285714285716,2,1,1,1,True
Richarlison de Andrade,0,0,8,7,13,1,0,0,2.142857142857143,80.0,0,1,2,80.0,2.0,-2.142857142857143,0,3,3,3,True
Allan Saint-Maximin,2,0,8,14,16,0,0,1,1.1428571428571428,55.0,1,0,0,55.0,2.0,0.8571428571428572,3,1,1,1,False
Joelinton Cássio Apolinário de Lira,1,0,8,14,16,1,0,0,2.142857142857143,60.0,1,0,2,60.0,2.0,-1.1428571428571428,3,1,1,1,False
Max Kilman,1,1,8,20,9,0,0,0,1.2857142857142858,40.0,1,0,1,40.0,2.0,-0.2857142857142858,2,2,2,2,False
Gabriel Magalhães,1,1,8,1,2,0,0,0,0.8571428571428571,50.0,0,1,1,50.0,2.0,0.1428571428571429,1,1,1,1,True
Wilfred Ndidi,0,0,8,10,20,0,0,1,2.142857142857143,50.0,0,1,0,50.0,2.0,-2.142857142857143,2,0,0,0,True
Daniel Castelo Podence,1,0,8,20,9,0,0,1,3.7142857142857144,55.0,1,0,0,55.0,3.0,-2.7142857142857144,2,2,2,2,False
Karl Darlow,2,0,8,14,16,0,1,0,3.142857142857143,50.0,1,0,3,50.0,3.0,-1.1428571428571428,3,1,1,1,False
Daniel Ceballos Fernández,1,0,8,1,2,0,0,1,1.2857142857142858,50.0,0,1,0,50.0,2.0,-0.2857142857142858,1,1,1,1,True
Jeff Hendrick,2,0,8,14,16,0,0,1,2.0,50.0,1,0,0,50.0,2.0,0.0,3,1,1,1,False
Matt Phillips,1,0,8,18,17,0,0,1,1.1428571428571428,55.0,0,1,0,55.0,2.0,-0.1428571428571428,0,2,2,2,True
Gylfi Sigurdsson,2,0,8,7,13,0,0,1,3.7142857142857144,70.0,0,1,0,70.0,3.0,-1.7142857142857144,0,3,3,3,True
Harvey Barnes,1,0,8,10,20,0,0,1,3.7142857142857144,70.0,0,1,0,70.0,3.0,-2.7142857142857144,2,0,0,0,True
Conor Coady,2,1,8,20,9,0,0,0,3.4285714285714284,50.0,1,0,1,50.0,3.0,-1.4285714285714284,2,2,2,2,False
Jacob Murphy,2,0,8,14,16,0,0,1,0.5714285714285714,50.0,1,0,0,50.0,1.0,1.4285714285714286,3,1,1,1,False
James Maddison,3,0,8,10,20,0,0,1,3.0,70.0,0,1,0,70.0,3.0,0.0,2,0,0,0,True
Chris Basham,0,1,8,15,5,0,0,0,0.5714285714285714,50.0,1,0,1,50.0,1.0,-0.5714285714285714,0,2,2,2,False
Yerry Mina,0,1,8,7,13,0,0,0,1.0,55.0,0,1,1,55.0,2.0,-1.0,0,3,3,3,True
James Rodríguez,2,0,8,7,13,0,0,1,4.285714285714286,75.0,0,1,0,75.0,3.0,-2.2857142857142856,0,3,3,3,True
Aaron Ramsdale,2,0,8,15,5,0,1,0,3.0,50.0,1,0,3,50.0,3.0,-1.0,0,2,2,2,False
Serge Aurier,0,1,8,17,18,0,0,0,4.285714285714286,55.0,1,0,1,55.0,3.0,-4.285714285714286,3,0,0,0,False
Miguel Almirón,2,0,8,14,16,0,0,1,2.2857142857142856,60.0,1,0,0,60.0,3.0,-0.2857142857142856,3,1,1,1,False
Jannik Vestergaard,6,1,8,16,14,0,0,0,3.0,45.0,0,1,1,45.0,3.0,3.0,2,1,1,1,True
Alphonse Areola,4,0,8,8,19,0,1,0,3.0,45.0,1,0,3,45.0,3.0,1.0,1,2,2,2,False
Sadio Mané,5,0,8,11,12,0,0,1,4.285714285714286,120.0,1,0,0,120.0,3.0,0.7142857142857144,0,3,3,3,False
Danny Ings,0,0,8,16,14,1,0,0,4.428571428571429,85.0,0,1,2,85.0,3.0,-4.428571428571429,2,1,1,1,True
Andros Townsend,2,0,8,6,10,0,0,1,2.4285714285714284,60.0,0,1,0,60.0,3.0,-0.4285714285714284,2,2,2,2,True
Liam Cooper,-1,1,8,9,6,0,0,0,0.5714285714285714,45.0,1,0,1,45.0,1.0,-1.5714285714285714,3,1,1,1,False
Oliver Norwood,2,0,8,15,5,0,0,1,1.1428571428571428,50.0,1,0,0,50.0,2.0,0.8571428571428572,0,2,2,2,False
Ivan Ricardo Neves Abreu Cavaleiro,1,0,8,8,19,0,0,1,3.0,55.0,1,0,0,55.0,3.0,-2.0,1,2,2,2,False
Wilfried Zaha,5,0,8,6,10,0,0,1,4.285714285714286,70.0,0,1,0,70.0,3.0,0.7142857142857144,2,2,2,2,True
Tyrick Mitchell,0,1,8,6,10,0,0,0,0.5714285714285714,40.0,0,1,1,40.0,1.0,-0.5714285714285714,2,2,2,2,True
Alexandre Lacazette,2,0,8,1,2,1,0,0,2.2857142857142856,85.0,0,1,2,85.0,3.0,-0.2857142857142856,1,1,1,1,True
Willy Boly,2,1,8,20,9,0,0,0,1.8571428571428572,55.0,1,0,1,55.0,2.0,0.1428571428571428,2,2,2,2,False
Jordan Henderson,2,0,8,11,12,0,0,1,1.8571428571428572,55.0,1,0,0,55.0,2.0,0.1428571428571428,0,3,3,3,False
Patrick van Aanholt,5,1,8,6,10,0,0,0,1.2857142857142858,55.0,0,1,1,55.0,2.0,3.7142857142857144,2,2,2,2,True
Leander Dendoncker,1,0,8,20,9,0,0,1,2.2857142857142856,50.0,1,0,0,50.0,3.0,-1.2857142857142856,2,2,2,2,False
Abdoulaye Doucouré,1,0,8,7,13,0,0,1,3.0,55.0,0,1,0,55.0,3.0,-2.0,0,3,3,3,True
Nicolas Pépé,1,0,8,1,2,0,0,1,3.0,80.0,0,1,0,80.0,3.0,-2.0,1,1,1,1,True
Kieran Tierney,1,1,8,1,2,0,0,0,1.2857142857142858,55.0,0,1,1,55.0,2.0,-0.2857142857142858,1,1,1,1,True
Jannik Vestergaard,2,1,9,16,20,0,0,0,2.857142857142857,45.0,1,0,1,45.0,3.0,-0.8571428571428572,2,0,0,0,False
Oliver Norwood,2,0,9,15,19,0,0,1,1.5714285714285714,50.0,0,1,0,50.0,2.0,0.4285714285714286,1,2,2,2,True
Aaron Ramsdale,2,0,9,15,19,0,1,0,1.5714285714285714,50.0,0,1,3,50.0,2.0,0.4285714285714286,1,2,2,2,True
Harrison Reed,2,0,9,8,7,0,0,1,2.5714285714285716,45.0,0,1,0,45.0,3.0,-0.5714285714285716,1,1,1,1,True
Stuart Dallas,5,1,9,9,1,0,0,0,5.714285714285714,45.0,0,1,1,45.0,3.0,-0.7142857142857144,0,1,1,1,True
Georginio Wijnaldum,3,0,9,11,9,0,0,1,2.142857142857143,55.0,0,1,0,55.0,2.0,0.8571428571428572,2,2,2,2,True
Bukayo Saka,1,0,9,1,10,0,0,1,3.7142857142857144,55.0,1,0,0,55.0,3.0,-2.7142857142857144,2,2,2,2,False
Trent Alexander-Arnold,0,1,9,11,9,0,0,0,5.714285714285714,75.0,0,1,1,75.0,3.0,-5.714285714285714,2,2,2,2,True
Pierre-Emerick Aubameyang,3,0,9,1,10,0,0,1,4.714285714285714,120.0,1,0,0,120.0,3.0,-1.7142857142857144,2,2,2,2,False
Andrew Robertson,12,1,9,11,9,0,0,0,5.714285714285714,70.0,0,1,1,70.0,3.0,6.285714285714286,2,2,2,2,True
Andreas Christensen,0,1,9,5,14,0,0,0,2.142857142857143,50.0,1,0,1,50.0,2.0,-2.142857142857143,2,1,1,1,False
Lewis Dunk,2,1,9,3,2,0,0,0,4.714285714285714,50.0,1,0,1,50.0,3.0,-2.7142857142857144,1,1,1,1,False
John Fleck,2,0,9,15,19,0,0,1,1.5714285714285714,60.0,0,1,0,60.0,2.0,0.4285714285714286,1,2,2,2,True
Granit Xhaka,3,0,9,1,10,0,0,1,3.2857142857142856,55.0,1,0,0,55.0,3.0,-0.2857142857142856,2,2,2,2,False
Che Adams,7,0,9,16,20,1,0,0,2.7142857142857144,60.0,1,0,2,60.0,3.0,4.285714285714286,2,0,0,0,False
André-Frank Zambo Anguissa,1,0,9,8,7,0,0,1,2.142857142857143,45.0,0,1,0,45.0,2.0,-1.1428571428571428,1,1,1,1,True
Kurt Zouma,6,1,9,5,14,0,0,0,5.714285714285714,50.0,1,0,1,50.0,3.0,0.2857142857142856,2,1,1,1,False
Ben White,2,1,9,3,2,0,0,0,3.7142857142857144,45.0,1,0,1,45.0,3.0,-1.7142857142857144,1,1,1,1,False
Rob Holding,6,1,9,1,10,0,0,0,2.2857142857142856,45.0,1,0,1,45.0,3.0,3.7142857142857144,2,2,2,2,False
Liam Cooper,5,1,9,9,1,0,0,0,3.5714285714285716,45.0,0,1,1,45.0,3.0,1.4285714285714284,0,1,1,1,True
Timo Werner,5,0,9,5,14,1,0,0,2.142857142857143,95.0,1,0,2,95.0,2.0,2.857142857142857,2,1,1,1,False
Heung-Min Son,10,0,9,17,12,0,0,1,8.714285714285714,90.0,0,1,0,90.0,3.0,1.2857142857142865,0,3,3,3,True
Héctor Bellerín,9,1,9,1,10,0,0,0,3.2857142857142856,50.0,1,0,1,50.0,3.0,5.714285714285714,2,2,2,2,False
Christian Pulisic,0,0,9,5,14,0,0,1,3.142857142857143,85.0,1,0,0,85.0,3.0,-3.142857142857143,2,1,1,1,False
Diogo Jota,9,0,9,11,9,0,0,1,4.571428571428571,65.0,0,1,0,65.0,3.0,4.428571428571429,2,2,2,2,True
Ryan Bertrand,2,1,9,16,20,0,0,0,3.4285714285714284,50.0,1,0,1,50.0,3.0,-1.4285714285714284,2,0,0,0,False
Steven Bergwijn,3,0,9,17,12,0,0,1,2.142857142857143,75.0,0,1,0,75.0,2.0,0.8571428571428572,0,3,3,3,True
James Maddison,2,0,9,10,11,0,0,1,3.4285714285714284,70.0,1,0,0,70.0,3.0,-1.4285714285714284,0,2,2,2,False
Tammy Abraham,9,0,9,5,14,1,0,0,2.2857142857142856,75.0,1,0,2,75.0,3.0,6.714285714285714,2,1,1,1,False
Jamie Vardy,2,0,9,10,11,1,0,0,7.0,100.0,1,0,2,100.0,3.0,-5.0,0,2,2,2,False
Oluwasemilogo Adesewo Ibidapo Ajayi,2,1,9,18,13,0,0,0,2.2857142857142856,50.0,1,0,1,50.0,3.0,-0.2857142857142856,0,3,3,3,False
Pedro Lomba Neto,6,0,9,20,16,0,0,1,3.4285714285714284,55.0,0,1,0,55.0,3.0,2.5714285714285716,3,1,1,1,True
Willian Borges Da Silva,1,0,9,1,10,0,0,1,2.142857142857143,80.0,1,0,0,80.0,2.0,-1.1428571428571428,2,2,2,2,False
Luke Ayling,6,1,9,9,1,0,0,0,4.571428571428571,45.0,0,1,1,45.0,3.0,1.4285714285714288,0,1,1,1,True
Bobby Decordova-Reid,4,0,9,8,7,1,0,0,2.142857142857143,55.0,0,1,2,55.0,2.0,1.8571428571428572,1,1,1,1,True
Patrick Bamford,2,0,9,9,1,1,0,0,6.571428571428571,55.0,0,1,2,55.0,3.0,-4.571428571428571,0,1,1,1,True
Allan Saint-Maximin,2,0,9,14,5,0,0,1,2.142857142857143,55.0,0,1,0,55.0,2.0,-0.1428571428571428,0,2,2,2,True
Hélder Wander Sousa de Azevedo e Costa,0,0,9,9,1,0,0,1,3.142857142857143,55.0,0,1,0,55.0,3.0,-3.142857142857143,0,1,1,1,True
Jacob Murphy,1,0,9,14,5,0,0,1,1.8571428571428572,50.0,0,1,0,50.0,2.0,-0.8571428571428572,0,2,2,2,True
David McGoldrick,2,0,9,15,19,1,0,0,2.7142857142857144,55.0,0,1,2,55.0,3.0,-0.7142857142857144,1,2,2,2,True
Ruben Loftus-Cheek,6,0,9,8,7,0,0,1,2.2857142857142856,60.0,0,1,0,60.0,3.0,3.7142857142857144,1,1,1,1,True
Fabio Henrique Tavares,3,0,9,11,9,0,0,1,2.857142857142857,55.0,0,1,0,55.0,3.0,0.1428571428571428,2,2,2,2,True
Kieran Tierney,6,1,9,1,10,0,0,0,2.2857142857142856,55.0,1,0,1,55.0,3.0,3.7142857142857144,2,2,2,2,False
Danny Ings,0,0,9,16,20,1,0,0,3.5714285714285716,85.0,1,0,2,85.0,3.0,-3.5714285714285716,2,0,0,0,False
Ezgjan Alioski,9,1,9,9,1,0,0,0,4.428571428571429,45.0,0,1,1,45.0,3.0,4.571428571428571,0,1,1,1,True
Antonio Rüdiger,6,1,9,5,14,0,0,0,3.142857142857143,50.0,1,0,1,50.0,3.0,2.857142857142857,2,1,1,1,False
Serge Aurier,6,1,9,17,12,0,0,0,3.142857142857143,55.0,0,1,1,55.0,3.0,2.857142857142857,0,3,3,3,True
Timothy Castagne,0,1,9,10,11,0,0,0,1.4285714285714286,55.0,1,0,1,55.0,2.0,-1.4285714285714286,0,2,2,2,False
Rúben Diogo da Silva Neves,1,0,9,20,16,0,0,1,3.5714285714285716,55.0,0,1,0,55.0,3.0,-2.5714285714285716,3,1,1,1,True
Pierre-Emile Højbjerg,3,0,9,17,12,0,0,1,3.142857142857143,50.0,0,1,0,50.0,3.0,-0.1428571428571428,0,3,3,3,True
Joël Veltman,1,1,9,3,2,0,0,0,2.5714285714285716,45.0,1,0,1,45.0,3.0,-1.5714285714285716,1,1,1,1,False
Leandro Trossard,0,0,9,3,2,0,0,1,5.571428571428571,60.0,1,0,0,60.0,3.0,-5.571428571428571,1,1,1,1,False
Jack Harrison,3,0,9,9,1,0,0,1,2.5714285714285716,55.0,0,1,0,55.0,3.0,0.4285714285714284,0,1,1,1,True
Theo Walcott,7,0,9,16,20,0,0,1,3.2857142857142856,60.0,1,0,0,60.0,3.0,3.7142857142857144,2,0,0,0,False
Emile Smith Rowe,0,0,9,1,10,0,0,1,1.8571428571428572,45.0,1,0,0,45.0,2.0,-1.8571428571428572,2,2,2,2,False
João Filipe Iria Santos Moutinho,2,0,9,20,16,0,0,1,1.8571428571428572,55.0,0,1,0,55.0,2.0,0.1428571428571428,3,1,1,1,True
Mason Mount,6,0,9,5,14,0,0,1,3.0,70.0,1,0,0,70.0,3.0,3.0,2,1,1,1,False
Youri Tielemans,2,0,9,10,11,0,0,1,4.0,65.0,1,0,0,65.0,3.0,-2.0,0,2,2,2,False
Nicolas Pépé,-2,0,9,1,10,0,0,1,2.4285714285714284,80.0,1,0,0,80.0,3.0,-4.428571428571429,2,2,2,2,False
Illan Meslier,6,0,9,9,1,0,1,0,5.142857142857143,45.0,0,1,3,45.0,3.0,0.8571428571428568,0,1,1,1,True
Emiliano Martínez,1,0,9,2,3,0,1,0,5.142857142857143,45.0,0,1,3,45.0,3.0,-4.142857142857143,1,1,1,1,True
James Ward-Prowse,2,0,9,16,20,0,0,1,2.0,60.0,1,0,0,60.0,2.0,0.0,2,0,0,0,False
Alexandre Lacazette,0,0,9,1,10,1,0,0,5.0,85.0,1,0,2,85.0,3.0,-5.0,2,2,2,2,False
Stuart Armstrong,2,0,9,16,20,0,0,1,4.142857142857143,55.0,1,0,0,55.0,3.0,-2.1428571428571432,2,0,0,0,False
Rui Pedro dos Santos Patrício,2,0,9,20,16,0,1,0,2.2857142857142856,55.0,0,1,3,55.0,3.0,-0.2857142857142856,3,1,1,1,True
Joseph Willock,1,0,9,1,10,0,0,1,2.5714285714285716,50.0,1,0,0,50.0,3.0,-1.5714285714285716,2,2,2,2,False
Tanguy Ndombele,6,0,9,17,12,0,0,1,3.0,60.0,0,1,0,60.0,3.0,3.0,0,3,3,3,True
Gabriel Magalhães,6,1,9,1,10,0,0,0,2.4285714285714284,50.0,1,0,1,50.0,3.0,3.5714285714285716,2,2,2,2,False
Alisson Ramses Becker,8,0,9,11,9,0,1,0,5.0,60.0,0,1,3,60.0,3.0,3.0,2,2,2,2,True
Mateo Kovacic,3,0,9,5,14,0,0,1,1.7142857142857142,55.0,1,0,0,55.0,2.0,1.2857142857142858,2,1,1,1,False
Toby Alderweireld,6,1,9,17,12,0,0,0,3.0,55.0,0,1,1,55.0,3.0,3.0,0,3,3,3,True
Reece James,8,1,9,5,14,0,0,0,5.0,50.0,1,0,1,50.0,3.0,3.0,2,1,1,1,False
Wilfred Ndidi,0,0,9,10,11,0,0,1,1.7142857142857142,50.0,1,0,0,50.0,2.0,-1.7142857142857142,0,2,2,2,False
Rodrigo Moreno,1,0,9,9,1,1,0,0,1.7142857142857142,60.0,0,1,2,60.0,2.0,-0.7142857142857142,0,1,1,1,True
Jorge Luiz Frello Filho,0,0,9,5,14,0,0,1,5.0,50.0,1,0,0,50.0,3.0,-5.0,2,1,1,1,False
Kyle Walker-Peters,3,1,9,16,20,0,0,0,4.142857142857143,45.0,1,0,1,45.0,3.0,-1.1428571428571432,2,0,0,0,False
César Azpilicueta,0,1,9,5,14,0,0,0,3.0,60.0,1,0,1,60.0,3.0,-3.0,2,1,1,1,False
Pascal Struijk,0,1,9,9,1,0,0,0,1.8571428571428572,40.0,0,1,1,40.0,2.0,-1.8571428571428572,0,1,1,1,True
Max Kilman,2,1,9,20,16,0,0,0,1.8571428571428572,40.0,0,1,1,40.0,2.0,0.1428571428571428,3,1,1,1,True
Matheus Pereira,2,0,9,18,13,0,0,1,1.8571428571428572,60.0,1,0,0,60.0,2.0,0.1428571428571428,0,3,3,3,False
Hugo Lloris,10,0,9,17,12,0,1,0,4.285714285714286,55.0,0,1,3,55.0,3.0,5.714285714285714,0,3,3,3,True
Willy Boly,2,1,9,20,16,0,0,0,2.0,55.0,0,1,1,55.0,2.0,0.0,3,1,1,1,True
Oriol Romeu Vidal,2,0,9,16,20,0,0,1,2.4285714285714284,45.0,1,0,0,45.0,3.0,-0.4285714285714284,2,0,0,0,False
Leander Dendoncker,2,0,9,20,16,0,0,1,2.0,50.0,0,1,0,50.0,2.0,0.0,3,1,1,1,True
Kai Havertz,0,0,9,5,14,0,0,1,3.7142857142857144,85.0,1,0,0,85.0,3.0,-3.7142857142857144,2,1,1,1,False
James Justin,0,1,9,10,11,0,0,0,1.7142857142857142,45.0,1,0,1,45.0,2.0,-1.7142857142857142,0,2,2,2,False
Alex McCarthy,7,0,9,16,20,0,1,0,4.285714285714286,45.0,1,0,3,45.0,3.0,2.7142857142857144,2,0,0,0,False
Harry Kane,4,0,9,17,12,1,0,0,5.571428571428571,105.0,0,1,2,105.0,3.0,-1.5714285714285712,0,3,3,3,True
Daniel Ceballos Fernández,3,0,9,1,10,0,0,1,2.5714285714285716,50.0,1,0,0,50.0,3.0,0.4285714285714284,2,2,2,2,False
Callum Hudson-Odoi,1,0,9,5,14,0,0,1,2.4285714285714284,60.0,1,0,0,60.0,3.0,-1.4285714285714284,2,1,1,1,False
Miguel Almirón,1,0,9,14,5,0,0,1,3.2857142857142856,60.0,0,1,0,60.0,3.0,-2.2857142857142856,0,2,2,2,True
Harvey Barnes,2,0,9,10,11,0,0,1,4.714285714285714,70.0,1,0,0,70.0,3.0,-2.7142857142857144,0,2,2,2,False
Yves Bissouma,1,0,9,3,2,0,0,1,2.7142857142857144,45.0,1,0,0,45.0,3.0,-1.7142857142857144,1,1,1,1,False
Mohamed Salah,0,0,9,11,9,0,0,1,5.428571428571429,120.0,0,1,0,120.0,3.0,-5.428571428571429,2,2,2,2,True
Roberto Firmino,6,0,9,11,9,1,0,0,3.857142857142857,95.0,0,1,2,95.0,3.0,2.142857142857143,2,2,2,2,True
Sam Johnstone,4,0,9,18,13,0,1,0,2.4285714285714284,45.0,1,0,3,45.0,3.0,1.5714285714285716,0,3,3,3,False
Conor Coady,0,1,9,20,16,0,0,0,2.0,50.0,0,1,1,50.0,2.0,-2.0,3,1,1,1,True
Nathan Redmond,0,0,9,16,20,0,0,1,2.5714285714285716,65.0,1,0,0,65.0,3.0,-2.5714285714285716,2,0,0,0,False
Adam Lallana,4,0,9,3,2,0,0,1,1.7142857142857142,65.0,1,0,0,65.0,2.0,2.2857142857142856,1,1,1,1,False
Eric Dier,7,1,9,17,12,0,0,0,2.7142857142857144,50.0,0,1,1,50.0,3.0,4.285714285714286,0,3,3,3,True
Benjamin Chilwell,7,1,9,5,14,0,0,0,5.285714285714286,55.0,1,0,1,55.0,3.0,1.7142857142857144,2,1,1,1,False
Jan Bednarek,2,1,9,16,20,0,0,0,3.857142857142857,45.0,1,0,1,45.0,3.0,-1.8571428571428572,2,0,0,0,False
Marc Albrighton,2,0,9,10,11,0,0,1,1.5714285714285714,55.0,1,0,0,55.0,2.0,0.4285714285714286,0,2,2,2,False
Neal Maupay,2,0,9,3,2,1,0,0,5.285714285714286,65.0,1,0,2,65.0,3.0,-3.2857142857142856,1,1,1,1,False
Alphonse Areola,2,0,9,8,7,0,1,0,4.714285714285714,45.0,0,1,3,45.0,3.0,-2.7142857142857144,1,1,1,1,True
Mateusz Klich,3,0,9,9,1,0,0,1,2.0,55.0,0,1,0,55.0,2.0,1.0,0,1,1,1,True
Solomon March,9,0,9,3,2,0,0,1,2.7142857142857144,50.0,1,0,0,50.0,3.0,6.285714285714286,1,1,1,1,False
Jonjo Shelvey,0,0,9,14,5,0,0,1,1.7142857142857142,55.0,0,1,0,55.0,2.0,-1.7142857142857142,0,2,2,2,True
Sadio Mané,3,0,9,11,9,0,0,1,5.142857142857143,120.0,0,1,0,120.0,3.0,-2.1428571428571432,2,2,2,2,True
Pascal Groß,5,0,9,3,2,0,0,1,4.0,60.0,1,0,0,60.0,3.0,1.0,1,1,1,1,False
Bernd Leno,10,0,9,1,10,0,1,0,4.0,50.0,1,0,3,50.0,3.0,6.0,2,2,2,2,False
Kasper Schmeichel,4,0,9,10,11,0,1,0,2.4285714285714284,55.0,1,0,3,55.0,3.0,1.5714285714285716,0,2,2,2,False
Daniel Castelo Podence,2,0,9,20,16,0,0,1,2.142857142857143,55.0,0,1,0,55.0,2.0,-0.1428571428571428,3,1,1,1,True
Federico Fernández,-1,1,9,14,5,0,0,0,-0.14285714285714285,50.0,0,1,1,50.0,0.0,-0.8571428571428572,0,2,2,2,True
Ivan Ricardo Neves Abreu Cavaleiro,0,0,9,8,7,0,0,1,1.2857142857142858,55.0,0,1,0,55.0,2.0,-1.2857142857142858,1,1,1,1,True
Matt Ritchie,0,0,9,14,5,0,0,1,0.2857142857142857,50.0,0,1,0,50.0,1.0,-0.2857142857142857,0,2,2,2,True
Marcos Alonso,0,1,9,5,14,0,0,0,1.1428571428571428,60.0,1,0,1,60.0,2.0,-1.1428571428571428,2,1,1,1,False
Ainsley Maitland-Niles,1,1,9,1,10,0,0,0,0.7142857142857143,50.0,1,0,1,50.0,1.0,0.2857142857142857,2,2,2,2,False
Enda Stevens,0,1,9,15,19,0,0,0,0.2857142857142857,55.0,0,1,1,55.0,1.0,-0.2857142857142857,1,2,2,2,True
Ross Barkley,1,0,9,2,3,0,0,1,1.0,60.0,0,1,0,60.0,2.0,0.0,1,1,1,1,True
Jeff Hendrick,0,0,9,14,5,0,0,1,0.14285714285714285,50.0,0,1,0,50.0,1.0,-0.14285714285714285,0,2,2,2,True
Jordan Henderson,0,0,9,11,9,0,0,1,0.42857142857142855,55.0,0,1,0,55.0,1.0,-0.42857142857142855,2,2,2,2,True
George Baldock,2,1,9,15,19,0,0,0,1.1428571428571428,55.0,0,1,1,55.0,2.0,0.8571428571428572,1,2,2,2,True
Thiago Thiago,0,1,9,5,14,0,0,0,1.0,55.0,1,0,1,55.0,2.0,-1.0,2,1,1,1,False
Adam Webster,2,1,9,3,2,0,0,0,1.2857142857142858,45.0,1,0,1,45.0,2.0,0.7142857142857142,1,1,1,1,False
Ben Davies,0,1,9,17,12,0,0,0,0.8571428571428571,50.0,0,1,1,50.0,2.0,-0.8571428571428571,0,3,3,3,True
Aleksandar Mitrović,1,0,9,8,7,1,0,0,1.1428571428571428,60.0,0,1,2,60.0,2.0,-0.1428571428571428,1,1,1,1,True
N'Golo Kanté,3,0,9,5,14,0,0,1,1.2857142857142858,50.0,1,0,0,50.0,2.0,1.7142857142857142,2,1,1,1,False
Joelinton Cássio Apolinário de Lira,2,0,9,14,5,1,0,0,1.2857142857142858,60.0,0,1,2,60.0,2.0,0.7142857142857142,0,2,2,2,True
Dan Burn,1,1,9,3,2,0,0,0,0.5714285714285714,45.0,1,0,1,45.0,1.0,0.4285714285714286,1,1,1,1,False
Callum Wilson,0,0,9,14,5,1,0,0,1.2857142857142858,65.0,0,1,2,65.0,2.0,-1.2857142857142858,0,2,2,2,True
Matt Phillips,0,0,9,18,13,0,0,1,1.2857142857142858,55.0,1,0,0,55.0,2.0,-1.2857142857142858,0,3,3,3,False
Çaglar Söyüncü,0,1,9,10,11,0,0,0,0.42857142857142855,55.0,1,0,1,55.0,1.0,-0.42857142857142855,0,2,2,2,False
Adama Traoré,1,0,9,20,16,0,0,1,1.4285714285714286,65.0,0,1,0,65.0,2.0,-0.4285714285714286,3,1,1,1,True
Hakim Ziyech,3,0,9,5,14,0,0,1,1.4285714285714286,80.0,1,0,0,80.0,2.0,1.5714285714285714,2,1,1,1,False
